StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,EngagementScore,AcademicIndex,MotivationEngagementRatio,Cluster,PCA1,PCA2,PCA3,ClusterLabel
19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,22.666666666666668,38.8,0.0,0,-3.1451337631124043,-1.110270341803173,0.7875170413593654,High Achievers
19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,35.333333333333336,46.6,0.0,3,0.4848507384401365,-2.263088381108268,-1.2463034780476652,Growth Potential
19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,28.666666666666668,56.5,0.0,2,0.6035749987699468,0.4652065526062151,-1.4260552895659229,At-Risk Students
19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,22.666666666666668,38.8,0.0,0,-3.1451337631124043,-1.110270341803173,0.7875170413593654,High Achievers
19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,35.333333333333336,46.6,0.0,3,0.4848507384401365,-2.263088381108268,-1.2463034780476652,Growth Potential
19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,28.666666666666668,56.5,0.0,2,0.6035749987699468,0.4652065526062151,-1.4260552895659229,At-Risk Students
19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,22.666666666666668,38.8,0.0,0,-3.1451337631124043,-1.110270341803173,0.7875170413593654,High Achievers
19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,35.333333333333336,46.6,0.0,3,0.4848507384401365,-2.263088381108268,-1.2463034780476652,Growth Potential
19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,28.666666666666668,56.5,0.0,2,0.6035749987699468,0.4652065526062151,-1.4260552895659229,At-Risk Students
19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,22.666666666666668,38.8,0.5,0,-3.142362247159962,-1.1308773882608096,0.34196987186424366,High Achievers
19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,35.333333333333336,46.6,0.5,3,0.48762225439257867,-2.2836954275659043,-1.6918506475427868,Growth Potential
19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,28.666666666666668,56.5,0.5,2,0.6063465147223889,0.44459950614857835,-1.8716024590610445,At-Risk Students
